siteID,time,target,score
BART,2021-03-01,gcc_90,0.0030357204579052914
BART,2021-03-02,gcc_90,0.0027141992927429007
BART,2021-03-03,gcc_90,0.00272538192632013
BART,2021-03-04,gcc_90,0.002050098975998547
BART,2021-03-05,gcc_90,0.00244199017797862
BART,2021-03-06,gcc_90,0.0017262966360107469
BART,2021-03-07,gcc_90,0.0017844920664183287
BART,2021-03-08,gcc_90,0.00244566123210867
BART,2021-03-09,gcc_90,0.0022347156721937993
BART,2021-03-10,gcc_90,0.00204946438103692
BART,2021-03-11,gcc_90,0.002093701967977443
BART,2021-03-12,gcc_90,0.0025274113062431977
BART,2021-03-13,gcc_90,0.0016969739179658317
BART,2021-03-14,gcc_90,0.0017739887844679166
BART,2021-03-15,gcc_90,0.00179717312919414
BART,2021-03-16,gcc_90,0.0030044950236840376
BART,2021-03-17,gcc_90,0.0017825110105551473
BART,2021-03-18,gcc_90,0.0021553051533552314
BART,2021-03-19,gcc_90,0.0032017006522402306
BART,2021-03-20,gcc_90,0.0015194133572397478
BART,2021-03-21,gcc_90,0.0015975389271594067
BART,2021-03-22,gcc_90,0.0026615619481598204
BART,2021-03-23,gcc_90,0.001648949060458581
BART,2021-03-24,gcc_90,0.0020243863045715637
BART,2021-03-25,gcc_90,0.0021989788857036804
BART,2021-03-26,gcc_90,0.005598134645377716
BART,2021-03-27,gcc_90,0.002041861010796432
BART,2021-03-28,gcc_90,0.0021962113799508746
BART,2021-03-29,gcc_90,0.00194220808717464
BART,2021-03-30,gcc_90,0.0015426830315276039
BART,2021-03-31,gcc_90,0.0020822440498542306
BART,2021-04-01,gcc_90,0.0021815223004727374
BART,2021-04-02,gcc_90,0.0018443424644076192
BART,2021-04-03,gcc_90,0.0027238000489881124
BART,2021-04-04,gcc_90,0.002642548782358576
CLBJ,2021-03-01,gcc_90,9.816540656256484e-4
CLBJ,2021-03-02,gcc_90,8.951351193922829e-4
CLBJ,2021-03-03,gcc_90,0.0025017765661799938
CLBJ,2021-03-04,gcc_90,0.002035941948679051
CLBJ,2021-03-05,gcc_90,0.0013685052804338531
CLBJ,2021-03-06,gcc_90,0.001335175729766334
CLBJ,2021-03-07,gcc_90,0.0016010137219120892
CLBJ,2021-03-08,gcc_90,0.0022743572255177515
CLBJ,2021-03-09,gcc_90,0.0018191769548316352
CLBJ,2021-03-10,gcc_90,0.002109213833514731
CLBJ,2021-03-11,gcc_90,0.0018398853447369966
CLBJ,2021-03-12,gcc_90,0.004636629123491639
CLBJ,2021-03-13,gcc_90,0.003976519085802044
CLBJ,2021-03-14,gcc_90,0.003697482668621182
CLBJ,2021-03-15,gcc_90,0.0034233284784871603
CLBJ,2021-03-16,gcc_90,0.003618138524838349
CLBJ,2021-03-17,gcc_90,0.004934775334349109
CLBJ,2021-03-18,gcc_90,0.0042334957551225585
CLBJ,2021-03-19,gcc_90,0.0024635317942837015
CLBJ,2021-03-20,gcc_90,0.002646309100255109
CLBJ,2021-03-21,gcc_90,0.006481048988133239
CLBJ,2021-03-22,gcc_90,0.004394777913969945
CLBJ,2021-03-23,gcc_90,0.004162907742359217
CLBJ,2021-03-24,gcc_90,0.004988986398042137
CLBJ,2021-03-25,gcc_90,0.005143319628146232
CLBJ,2021-03-26,gcc_90,0.007451899356915599
CLBJ,2021-03-27,gcc_90,0.007264045709946962
CLBJ,2021-03-28,gcc_90,0.008006687120816341
