table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
2DWSD_2min,windDirValidCalNAQM,"Wind direction quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windDirAlphaQM,"Wind direction quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windDirBetaQM,"Wind direction quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,*.##(round),NA,NA
2DWSD_2min,windDirCalmWindQF,"Wind direction quality flag for the calm wind test, as detailed in NEON.DOC.000780 (1=fail, 0=pass, -1=NA (i.e., could not be run))",signed integer,NA,expanded,integer,NA,NA
2DWSD_2min,windDirFinalQF,"Wind direction quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,integer,NA,NA
2DWSD_2min,windDirFinalQFSciRvw,"Wind direction quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,integer,NA,NA
2DWSD_2min,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,NA
2DWSD_2min,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,NA
2DWSD_30min,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,NA
2DWSD_30min,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,NA
2DWSD_30min,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
2DWSD_30min,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
2DWSD_30min,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
2DWSD_30min,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
2DWSD_30min,windSpeedMean,Arithmetic mean of wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_30min,windSpeedMinimum,Minimum wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_30min,windSpeedMaximum,Maximum wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_30min,windSpeedVariance,Variance in wind speed,real,metersPerSecondSquared,basic,*.##(round),NA,NA
2DWSD_30min,windSpeedNumPts,Number of points used to calculate the arithmetic mean of wind speed,real,number,basic,*.##(round),NA,NA
2DWSD_30min,windSpeedExpUncert,Expanded uncertainty for wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_30min,windSpeedStdErMean,Standard error of the mean for wind speed,real,metersPerSecond,basic,*.##(round),NA,NA
2DWSD_30min,windSpeedRangeFailQM,"Wind speed quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedRangePassQM,"Wind speed quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedRangeNAQM,"Wind speed quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
2DWSD_30min,windSpeedPersistenceFailQM,"Wind speed quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,*.##(round),NA,NA
